Entity,Code,Year,Completeness of total death reporting (% of reported total deaths to estimated total deaths)
Albania,ALB,2006,91.73392557
Albania,ALB,2007,77.60683761
Albania,ALB,2008,84.87381703
Algeria,DZA,2007,89.77417878
Algeria,DZA,2008,91.04270677
Algeria,DZA,2010,91.08524883
Argentina,ARG,2006,96.86069977
Argentina,ARG,2007,100
Argentina,ARG,2009,98.53902407
Armenia,ARM,2007,100
Armenia,ARM,2008,100
Armenia,ARM,2010,100
Aruba,ABW,2007,68.64295125
Australia,AUS,2007,94.32388019
Australia,AUS,2008,100
Australia,AUS,2009,96.26655907
Austria,AUT,2007,98.57992074
Austria,AUT,2008,98.86366629
Austria,AUT,2009,100
Austria,AUT,2010,100
Azerbaijan,AZE,2007,84.29031498
Azerbaijan,AZE,2008,81.08108108
Azerbaijan,AZE,2010,78.81729921
Bahamas,BHS,2007,89.67581047
Bahamas,BHS,2008,92.31912785
Bahrain,BHR,2006,85.65130261
Bahrain,BHR,2008,84.27362482
Bahrain,BHR,2009,79.06591587
Barbados,BRB,2007,100
Belarus,BLR,2006,97.88913168
Belarus,BLR,2008,95.83252804
Belarus,BLR,2009,97.38756209
Belarus,BLR,2010,99.70591866
Belgium,BEL,2007,97.7186238
Belgium,BEL,2010,98.51798778
Belize,BLZ,2005,100
Bolivia,BOL,2007,30.64341923
Bosnia and Herzegovina,BIH,2006,96.11167366
Bosnia and Herzegovina,BIH,2008,94.43272647
Bosnia and Herzegovina,BIH,2009,94.76208644
Bosnia and Herzegovina,BIH,2010,92.82000429
Botswana,BWA,2007,43.45182046
Brazil,BRA,2006,85.1888596
Brazil,BRA,2008,86.66575127
Brazil,BRA,2009,87.5075509
Brunei,BRN,2007,100
Brunei,BRN,2008,97.84753363
Bulgaria,BGR,2007,98.8445222
Bulgaria,BGR,2008,96.69723005
Bulgaria,BGR,2010,96.90372521
Burkina Faso,BFA,2008,90.03904439
Cambodia,KHM,2004,100
Canada,CAN,2006,97.99036112
Canada,CAN,2008,97.91659894
Caribbean small states,,2009,88.24004102
Chad,TCD,2001,91.92474192
Channel Islands,OWID_CIS,2007,36.2032463
Chile,CHL,2006,100
Chile,CHL,2007,100
Chile,CHL,2008,100
China,CHN,2007,95.55888762
China,CHN,2009,96.88560553
Colombia,COL,2006,79.08940487
Colombia,COL,2008,71.27663028
Colombia,COL,2009,77.44098315
Costa Rica,CRI,2006,94.83568075
Costa Rica,CRI,2009,97.38181437
Costa Rica,CRI,2010,97.58056266
Croatia,HRV,2007,100
Croatia,HRV,2008,99.88125563
Croatia,HRV,2009,99.89136857
Croatia,HRV,2010,98.72088837
Cuba,CUB,2007,100
Cuba,CUB,2008,100
Cuba,CUB,2009,100
Cyprus,CYP,2007,74.82303956
Cyprus,CYP,2008,71.11171961
Cyprus,CYP,2009,70.04595837
Cyprus,CYP,2010,71.97010144
Czechia,CZE,2007,99.42512899
Czechia,CZE,2008,99.66761002
Czechia,CZE,2010,100
Denmark,DNK,2007,98.47690564
Denmark,DNK,2008,96.94381304
Denmark,DNK,2010,96.70923903
Dominican Republic,DOM,2005,61.98126814
Dominican Republic,DOM,2008,55.15869554
Dominican Republic,DOM,2009,54.35549665
East Asia & Pacific,,2009,96.09844866
East Asia & Pacific (IDA & IBRD),,2009,95.82904669
East Asia & Pacific (excluding high income),,2009,95.73788115
